INPUT (VOLT),OUTPUT (RPM)
0,0
5,708
5,983
0,885
5,924
0,885
0,708
5,885
5,983
0,895
0,718
5,885
0,885
5,924
5,983
0,895
0,718
0,560
0,413
0,275
0,157
5,727
5,973
5,983
5,983
5,983
5,993
0,895
5,934
5,983
5,993
5,983
5,983
5,993
0,895
5,934
5,983
0,895
5,934
5,983
5,993
5,993
5,983
5,993
0,895
5,924
5,983
0,895
0,727
0,560
0,413
5,806
5,983
5,983
0,904
0,718
0,560
5,845
5,983
5,983
5,993
0,895
5,934
5,993
5,983
5,983
0,904
5,934
5,983
5,993
5,993
0,895
5,934
0,895
5,924
5,983
5,983
5,983
0,904
5,934
0,885
5,934
5,983
0,895
5,934
0,895
5,934
0,885
0,718
0,560
0,413
0,275
0,137
0,19
0,0
0,0
0,0
0,0
5,708
5,973
0,895
5,924
5,983
0,895
0,718
5,885
5,993
0,895
0,727
0,560
0,413
0,265
5,767
5,973
5,983
5,993
5,993
5,983
0,895
0,727
0,560
0,413
0,265
5,777
0,865
5,934
5,983
0,904
0,718
0,560
0,413
5,806
5,983
5,993
0,895
5,934
0,895
0,718
0,560
0,413
0,275
0,137
5,737
5,983
0,895
0,718
0,560
0,403
0,265
5,767
5,983
0,904
5,934
5,983
5,993
5,993
5,993
5,993
0,895
5,934
5,983
0,895
0,737
0,570
5,845
5,983
5,983
5,983
0,904
5,944
0,895
0,718
5,895
0,885
0,718
0,550
5,845
5,983
0,904
5,934
0,895
5,934
5,993
5,993
5,993
0,895
5,944
0,895
5,934
0,895
0,718
5,895
0,885
5,934
0,895
5,934
0,895
5,934
0,895
5,944
5,983
5,983
5,983
0,895
5,944
5,983
0,904
0,727
5,895
5,983
0,904
0,718
5,885
5,993
5,993
5,993
0,895
0,727
0,560
0,413
5,806
0,875
0,698
0,540
0,393
5,796
5,983
5,993
0,895
0,718
0,560
5,845
0,885
0,708
5,885
5,983
5,993
5,993
5,993
0,895
5,934
5,983
5,993
0,904
0,727
5,885
0,885
0,718
0,550
0,413
0,265
5,767
0,875
5,924
0,895
5,934
5,993
5,993
5,993
5,993
0,904
5,944
5,993
0,904
0,727
5,895
0,885
0,718
5,885
5,993
0,904
5,934
0,895
5,934
0,895
5,934
0,895
5,944
5,993
5,993
5,993
5,1003
5,993
5,993
5,993
0,904
5,934
0,895
5,934
0,895
0,727
0,570
0,422
0,285
0,167
0,39
0,0
5,708
0,865
5,924
0,895
0,708
0,550
5,836
5,983
5,993
5,993
5,993
0,895
0,727
5,895
5,993
5,993
5,993
5,993
5,993
5,993
5,993
5,1003
5,993
0,904
0,727
5,895
5,993
5,993
5,993
0,904
5,934
0,885
5,934
5,993
0,904
0,727
0,570
0,413
5,806
0,875
0,708
5,885
0,885
5,934
0,895
0,718
0,560
0,403
5,806
0,875
5,934
0,895
0,718
5,895
5,983
0,904
5,934
5,993
0,904
0,727
5,885
5,983
5,993
5,993
0,895
0,727
5,895
5,983
0,895
0,727
0,560
5,845
5,983
0,904
0,727
5,885
5,983
0,904
0,737
5,885
0,885
0,718
0,560
0,413
0,275
0,137
5,737
0,875
5,934
5,983
5,993
5,993
0,904
5,934
5,993
0,904
0,727
0,570
0,413
0,275
5,777
5,993
5,993
5,993
5,1003
0,904
0,727
5,895
0,895
5,944
5,993
5,993
5,993
5,993
0,904
0,727
5,885
0,895
0,718
0,560
5,845
0,885
5,934
5,993
0,904
0,727
0,570
0,422
0,285
0,157
0,29
0,0
5,718
5,983
5,993
5,993
0,904
5,934
5,993
0,904
0,718
